"ID","POSTDATE","COMPANY","floorplans__ID","floorplans__NAME","floorplans__SQFTMIN","floorplans__SQFTMAX","unittypes__ID","unittypes__utpricing__LT","unittypes__utpricing__STARTDATE","unittypes__utpricing__ENDDATE","unittypes__utpricing__BASERENT","unittypes__utpricing__CONCESSION","unittypes__utpricing__EFFRENT","unittypes__utpricing__CONTYPE","unittypes__utpricing__CONVALUE","units__ID","units__AVAILDATE","units__STATUS","units__UNITTYPE","units__UNITCAT","units__AMENITYVALUE","units__FLOORPLANID","units__amenity__ID","units__amenity__DESCRIPTION","units__amenity__VALUE","units__offeredterm__LT","units__offeredterm__BASERENT","units__offeredterm__TOTALCONCESSION","units__offeredterm__EFFECTIVERENT","units__offeredterm__CONTYPE","units__offeredterm__CONVALUE","units__offeredterm__STARTDATE","units__offeredterm__ENDDATE","units__offeredterm__PVENDDATE"
"","","","","","","","","8","20171023","20171029","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171030","20171105","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171106","20171112","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171113","20171119","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171120","20171126","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171127","20171203","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171204","20171210","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171211","20171217","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170821","20170827","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170828","20170903","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170904","20170910","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170911","20170917","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170918","20170924","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170925","20171001","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171002","20171008","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171009","20171015","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171016","20171022","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171023","20171029","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171030","20171105","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171106","20171112","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171113","20171119","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171120","20171126","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171127","20171203","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171204","20171210","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171211","20171217","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170821","20170827","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170828","20170903","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170904","20170910","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170911","20170917","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170918","20170924","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170925","20171001","970.00","0.00","970.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171002","20171008","970.00","0.00","970.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171009","20171015","970.00","0.00","970.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171016","20171022","970.00","0.00","970.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171023","20171029","970.00","0.00","970.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171030","20171105","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171106","20171112","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171113","20171119","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171120","20171126","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171127","20171203","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171204","20171210","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171211","20171217","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170821","20170827","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170828","20170903","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170904","20170910","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170911","20170917","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170918","20170924","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170925","20171001","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171002","20171008","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171009","20171015","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171016","20171022","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171023","20171029","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171030","20171105","820.00","0.00","820.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171106","20171112","820.00","0.00","820.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171113","20171119","820.00","0.00","820.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171120","20171126","820.00","0.00","820.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171127","20171203","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171204","20171210","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171211","20171217","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20170821","20170827","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20170828","20170903","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20170904","20170910","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20170911","20170917","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20170918","20170924","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20170925","20171001","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171002","20171008","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171009","20171015","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171016","20171022","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171023","20171029","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171030","20171105","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171106","20171112","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171113","20171119","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171120","20171126","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171127","20171203","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171204","20171210","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","12","20171211","20171217","810.00","0.00","810.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","1313","2","20170821","20170827","1010.00","0.00","1010.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20170828","20170903","825.00","0.00","825.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20170904","20170910","825.00","0.00","825.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20170911","20170917","825.00","0.00","825.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20170918","20170924","825.00","0.00","825.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20170925","20171001","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171002","20171008","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171009","20171015","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171016","20171022","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171023","20171029","815.00","0.00","815.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171030","20171105","820.00","0.00","820.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171106","20171112","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171113","20171119","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171120","20171126","975.00","0.00","975.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171127","20171203","980.00","0.00","980.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171204","20171210","980.00","0.00","980.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","2","20171211","20171217","980.00","0.00","980.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20170821","20170827","770.00","0.00","770.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20170828","20170903","770.00","0.00","770.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20170904","20170910","770.00","0.00","770.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20170911","20170917","770.00","0.00","770.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20170918","20170924","770.00","0.00","770.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20170925","20171001","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171002","20171008","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171009","20171015","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171016","20171022","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171023","20171029","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171030","20171105","765.00","0.00","765.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171106","20171112","915.00","0.00","915.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171113","20171119","915.00","0.00","915.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171120","20171126","915.00","0.00","915.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171127","20171203","1215.00","0.00","1215.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171204","20171210","1215.00","0.00","1215.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","3","20171211","20171217","1215.00","0.00","1215.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20170821","20170827","760.00","0.00","760.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20170828","20170903","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20170904","20170910","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20170911","20170917","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20170918","20170924","755.00","0.00","755.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20170925","20171001","745.00","0.00","745.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171002","20171008","745.00","0.00","745.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171009","20171015","745.00","0.00","745.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171016","20171022","745.00","0.00","745.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171023","20171029","745.00","0.00","745.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171030","20171105","995.00","0.00","995.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171106","20171112","1190.00","0.00","1190.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171113","20171119","1190.00","0.00","1190.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171120","20171126","1190.00","0.00","1190.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171127","20171203","910.00","0.00","910.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171204","20171210","910.00","0.00","910.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","4","20171211","20171217","910.00","0.00","910.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20170821","20170827","705.00","0.00","705.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20170828","20170903","705.00","0.00","705.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20170904","20170910","705.00","0.00","705.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20170911","20170917","705.00","0.00","705.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20170918","20170924","705.00","0.00","705.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20170925","20171001","930.00","0.00","930.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171002","20171008","930.00","0.00","930.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171009","20171015","930.00","0.00","930.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171016","20171022","930.00","0.00","930.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171023","20171029","930.00","0.00","930.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171030","20171105","705.00","0.00","705.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171106","20171112","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171113","20171119","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171120","20171126","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171127","20171203","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171204","20171210","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","5","20171211","20171217","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20170821","20170827","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20170828","20170903","900.00","0.00","900.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20170904","20170910","900.00","0.00","900.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20170911","20170917","900.00","0.00","900.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20170918","20170924","900.00","0.00","900.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20170925","20171001","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171002","20171008","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171009","20171015","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171016","20171022","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171023","20171029","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171030","20171105","680.00","0.00","680.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171106","20171112","680.00","0.00","680.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171113","20171119","680.00","0.00","680.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171120","20171126","680.00","0.00","680.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171127","20171203","670.00","0.00","670.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171204","20171210","670.00","0.00","670.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","6","20171211","20171217","670.00","0.00","670.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20170821","20170827","890.00","0.00","890.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20170828","20170903","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20170904","20170910","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20170911","20170917","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20170918","20170924","675.00","0.00","675.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20170925","20171001","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171002","20171008","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171009","20171015","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171016","20171022","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171023","20171029","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171030","20171105","670.00","0.00","670.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171106","20171112","670.00","0.00","670.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171113","20171119","670.00","0.00","670.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171120","20171126","670.00","0.00","670.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171127","20171203","855.00","0.00","855.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171204","20171210","855.00","0.00","855.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","7","20171211","20171217","855.00","0.00","855.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20170821","20170827","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20170828","20170903","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20170904","20170910","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20170911","20170917","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20170918","20170924","665.00","0.00","665.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20170925","20171001","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171002","20171008","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171009","20171015","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171016","20171022","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171023","20171029","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171030","20171105","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171106","20171112","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171113","20171119","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171120","20171126","850.00","0.00","850.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171127","20171203","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171204","20171210","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","8","20171211","20171217","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170821","20170827","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170828","20170903","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170904","20170910","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170911","20170917","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170918","20170924","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20170925","20171001","840.00","0.00","840.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171002","20171008","840.00","0.00","840.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171009","20171015","840.00","0.00","840.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171016","20171022","840.00","0.00","840.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171023","20171029","840.00","0.00","840.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171030","20171105","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171106","20171112","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171113","20171119","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171120","20171126","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171127","20171203","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171204","20171210","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","9","20171211","20171217","655.00","0.00","655.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170821","20170827","575.00","0.00","575.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170828","20170903","750.00","0.00","750.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170904","20170910","750.00","0.00","750.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170911","20170917","750.00","0.00","750.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170918","20170924","750.00","0.00","750.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20170925","20171001","580.00","0.00","580.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171002","20171008","580.00","0.00","580.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171009","20171015","580.00","0.00","580.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171016","20171022","580.00","0.00","580.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171023","20171029","580.00","0.00","580.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171030","20171105","590.00","0.00","590.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171106","20171112","590.00","0.00","590.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171113","20171119","590.00","0.00","590.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171120","20171126","590.00","0.00","590.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171127","20171203","595.00","0.00","595.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171204","20171210","595.00","0.00","595.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","10","20171211","20171217","595.00","0.00","595.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170821","20170827","740.00","0.00","740.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170828","20170903","575.00","0.00","575.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170904","20170910","575.00","0.00","575.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170911","20170917","575.00","0.00","575.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170918","20170924","575.00","0.00","575.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20170925","20171001","580.00","0.00","580.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171002","20171008","580.00","0.00","580.00","T","0.00","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","11","20171009","20171015","580.00","0.00","580.00","T","0.00","","","","","","","","","","","","","","","","","","",""
